CustomerID,FirstName,LastName,Email,Phone,Address,City,State,ZipCode
1,John,Doe,johndoe@example.com,123-456-7890,123 Main St,Anytown,CA,12345
2,Jane,Smith,janesmith@example.com,987-654-3210,456 Elm St,Smallville,NY,54321
3,Michael,Johnson,michaeljohnson@example.com,555-555-5555,789 Oak St,Bigtown,TX,67890
4,Emily,Brown,emilybrown@example.com,111-222-3333,101 Pine St,Middletown,OH,13579
5,David,Jones,davidjones@example.com,999-888-7777,246 Maple Ave,Largetown,FL,97531
6,Sarah,Williams,sarahwilliams@example.com,777-888-9999,369 Cedar St,Westville,WA,24680
7,James,Anderson,jamesanderson@example.com,333-444-5555,135 Oak St,Easttown,MA,86420
8,Emma,Martin,emmartin@example.com,222-333-4444,246 Birch St,Northville,IL,98765
9,William,Taylor,williamtaylor@example.com,666-777-8888,369 Walnut St,Southtown,PA,35791
10,Olivia,Thomas,oliviathomas@example.com,444-555-6666,789 Cherry St,Beachville,NJ,15973
11,Liam,Jackson,liamjackson@example.com,123-987-6543,101 Pine St,Anytown,CA,12345
12,Charlotte,White,charlottewhite@example.com,987-654-3210,456 Elm St,Smallville,NY,54321
13,Ethan,Harris,ethanharris@example.com,555-123-4567,789 Oak St,Bigtown,TX,67890
14,Ava,Martin,avamartin@example.com,111-222-3333,101 Pine St,Middletown,OH,13579
15,Mia,Moore,miamoore@example.com,999-888-7777,246 Maple Ave,Largetown,FL,97531
16,Alexander,Clark,alexanderclark@example.com,777-888-9999,369 Cedar St,Westville,WA,24680
17,Sophia,Lewis,sophialewis@example.com,333-444-5555,135 Oak St,Easttown,MA,86420
18,Logan,Hall,loganhall@example.com,222-333-4444,246 Birch St,Northville,IL,98765
19,Isabella,Allen,isabellaallen@example.com,666-777-8888,369 Walnut St,Southtown,PA,35791
20,Elijah,Young,elijahyoung@example.com,444-555-6666,789 Cherry St,Beachville,NJ,15973
21,Amelia,Wright,ameliawright@example.com,123-987-6543,101 Pine St,Anytown,CA,12345
22,Benjamin,King,benjaminking@example.com,987-654-3210,456 Elm St,Smallville,NY,54321
23,Avery,Lee,averylee@example.com,555-123-4567,789 Oak St,Bigtown,TX,67890
24,Evelyn,Adams,evelynadams@example.com,111-222-3333,101 Pine St,Middletown,OH,13579
25,Chloe,Hill,chloehill@example.com,999-888-7777,246 Maple Ave,Largetown,FL,97531
26,Carter,Baker,carterbaker@example.com,777-888-9999,369 Cedar St,Westville,WA,24680
27,Henry,Gonzalez,henrygonzalez@example.com,333-444-5555,135 Oak St,Easttown,MA,86420
28,Scarlett,Nelson,scarlettnelson@example.com,222-333-4444,246 Birch St,Northville,IL,98765
29,Lucas,Carter,lucascarter@example.com,666-777-8888,369 Walnut St,Southtown,PA,35791
30,Grace,Perez,graceperez@example.com,444-555-6666,789 Cherry St,Beachville,NJ,15973
31,Clara,Rivera,clararivera@example.com,123-987-6543,101 Pine St,Anytown,CA,12345
32,Luke,Flores,lukeflores@example.com,987-654-3210,456 Elm St,Smallville,NY,54321
33,Audrey,Cook,audreycook@example.com,555-123-4567,789 Oak St,Bigtown,TX,67890
34,Julian,Long,julianlong@example.com,111-222-3333,101 Pine St,Middletown,OH,13579
35,Aria,Hughes,ariahughes@example.com,999-888-7777,246 Maple Ave,Largetown,FL,97531
36,Leo,Russell,leorussell@example.com,777-888-9999,369 Cedar St,Westville,WA,24680
37,Nora,Gomez,noragomez@example.com,333-444-5555,135 Oak St,Easttown,MA,86420
38,Eleanor,Kelly,eleanorkelly@example.com,222-333-4444,246 Birch St,Northville,IL,98765
39,Gabriel,Howard,gabrielhoward@example.com,666-777-8888,369 Walnut St,Southtown,PA,35791
40,Hannah,Ward,hannahward@example.com,444-555-6666,789 Cherry St,Beachville,NJ,15973
41,Isaac,Bailey,isaacbailey@example.com,123-987-6543,101 Pine St,Anytown,CA,12345
42,Ellie,Collins,elliecollins@example.com,987-654-3210,456 Elm St,Smallville,NY,54321
43,Levi,Stewart,levistewart@example.com,555-123-4567,789 Oak St,Bigtown,TX,67890
44,Elizabeth,Turner,elizabethturner@example.com,111-222-3333,101 Pine St,Middletown,OH,13579
